Bin Center,Frequency
-8444.53125,1
-8167.59375,2
-7890.65625,3
-7613.71875,3
-7336.78125,1
-7059.84375,3
-6782.90625,3
-6505.96875,5
-6229.03125,5
-5952.09375,21
-5675.15625,20
-5398.21875,40
-5121.28125,50
-4844.34375,91
-4567.40625,111
-4290.46875,202
-4013.53125,287
-3736.59375,444
-3459.65625,748
-3182.71875,1197
-2905.78125,1965
-2628.84375,3453
-2351.90625,5935
-2074.96875,9978
-1798.03125,17408
-1521.09375,28994
-1244.15625,47263
-967.21875,73845
-690.28125,112145
-413.34375,155175
-136.40625,188020
140.53125,188199
417.46875,154751
694.40625,112260
971.34375,74875
1248.28125,47082
1525.21875,28854
1802.15625,17026
2079.09375,9961
2356.03125,5658
2632.96875,3311
2909.90625,1846
3186.84375,1068
3463.78125,611
3740.71875,428
4017.65625,277
4294.59375,166
4571.53125,111
4848.46875,89
5125.40625,61
5402.34375,41
5679.28125,29
5956.21875,17
6233.15625,18
6510.09375,4
6787.03125,10
7063.96875,6
7340.90625,4
7617.84375,4
7894.78125,2
8171.71875,0
8448.65625,0
8725.59375,0
9002.53125,1
