Bin Center,Frequency
-9314.953125,1
-9018.859375,1
-8722.765625,2
-8426.671875,2
-8130.578125,5
-7834.484375,3
-7538.390625,6
-7242.296875,10
-6946.203125,14
-6650.109375,26
-6354.015625,46
-6057.921875,70
-5761.828125,95
-5465.734375,144
-5169.640625,205
-4873.546875,324
-4577.453125,448
-4281.359375,658
-3985.265625,924
-3689.171875,1459
-3393.078125,1948
-3096.984375,2882
-2800.890625,3957
-2504.796875,5873
-2208.703125,8611
-1912.609375,13268
-1616.515625,20652
-1320.421875,33569
-1024.328125,56879
-728.234375,97371
-432.140625,162372
-136.046875,244922
160.046875,241369
456.140625,156932
752.234375,93139
1048.328125,54307
1344.421875,32158
1640.515625,20027
1936.609375,12646
2232.703125,8415
2528.796875,5601
2824.890625,3887
3120.984375,2790
3417.078125,1922
3713.171875,1305
4009.265625,928
4305.359375,635
4601.453125,447
4897.546875,305
5193.640625,202
5489.734375,120
5785.828125,108
6081.921875,65
6378.015625,50
6674.109375,30
6970.203125,17
7266.296875,11
7562.390625,11
7858.484375,10
8154.578125,1
8450.671875,1
8746.765625,1
9042.859375,0
9338.953125,1
