Bin Center,Frequency
-7190.359375,4
-6957.078125,2
-6723.796875,2
-6490.515625,2
-6257.234375,11
-6023.953125,10
-5790.671875,12
-5557.390625,21
-5324.109375,21
-5090.828125,32
-4857.546875,63
-4624.265625,92
-4390.984375,115
-4157.703125,145
-3924.421875,243
-3691.140625,346
-3457.859375,508
-3224.578125,776
-2991.296875,1091
-2758.015625,1654
-2524.734375,2474
-2291.453125,3791
-2058.171875,5664
-1824.890625,8754
-1591.609375,13819
-1358.328125,22095
-1125.046875,35600
-891.765625,58161
-658.484375,91505
-425.203125,137993
-191.921875,191479
41.359375,211723
274.640625,175868
507.921875,120997
741.203125,78352
974.484375,48784
1207.765625,29837
1441.046875,18504
1674.328125,11545
1907.609375,7407
2140.890625,4804
2374.171875,3206
2607.453125,2136
2840.734375,1460
3074.015625,988
3307.296875,668
3540.578125,473
3773.859375,292
4007.140625,181
4240.421875,130
4473.703125,107
4706.984375,74
4940.265625,47
5173.546875,23
5406.828125,33
5640.109375,26
5873.390625,14
6106.671875,7
6339.953125,6
6573.234375,4
6806.515625,1
7039.796875,1
7273.078125,2
7506.359375,3
