Bin Center,Frequency
-8162.695312,2
-7912.085938,1
-7661.476562,2
-7410.867188,5
-7160.257812,3
-6909.648438,11
-6659.039062,5
-6408.429688,19
-6157.820312,20
-5907.210938,29
-5656.601562,56
-5405.992188,78
-5155.382812,104
-4904.773438,158
-4654.164062,240
-4403.554688,292
-4152.945312,431
-3902.335938,641
-3651.726562,862
-3401.117188,1287
-3150.507812,1791
-2899.898438,2493
-2649.289062,3470
-2398.679688,4872
-2148.070312,7121
-1897.460938,10475
-1646.851562,15842
-1396.242188,24603
-1145.632812,38722
-895.0234375,62001
-644.4140625,97641
-393.8046875,148901
-143.1953125,208570
107.4140625,214145
358.0234375,159061
608.6328125,103718
859.2421875,66008
1109.851562,41387
1360.460938,25778
1611.070312,16735
1861.679688,11180
2112.289062,7592
2362.898438,5273
2613.507812,3624
2864.117188,2633
3114.726562,1862
3365.335938,1273
3615.945312,936
3866.554688,656
4117.164062,501
4367.773438,315
4618.382812,236
4868.992188,142
5119.601562,110
5370.210938,87
5620.820312,60
5871.429688,47
6122.039062,25
6372.648438,19
6623.257812,13
6873.867188,13
7124.476562,6
7375.085938,2
7625.695312,3
