Bin Center,Frequency
-9224.367188,1
-8931.101562,1
-8637.835938,3
-8344.570312,3
-8051.304688,4
-7758.039062,3
-7464.773438,6
-7171.507812,10
-6878.242188,16
-6584.976562,32
-6291.710938,49
-5998.445312,74
-5705.179688,101
-5411.914062,150
-5118.648438,235
-4825.382812,325
-4532.117188,470
-4238.851562,709
-3945.585938,976
-3652.320312,1520
-3359.054688,1978
-3065.789062,3050
-2772.523438,4029
-2479.257812,6079
-2185.992188,8841
-1892.726562,13578
-1599.460938,21281
-1306.195312,34404
-1012.929688,57664
-719.6640625,98000
-426.3984375,162666
-133.1328125,242292
160.1328125,237122
453.3984375,156733
746.6640625,93088
1039.929688,54973
1333.195312,32652
1626.460938,20453
1919.726562,12895
2212.992188,8677
2506.257812,5746
2799.523438,3981
3092.789062,2887
3386.054688,1937
3679.320312,1422
3972.585938,942
4265.851562,669
4559.117188,491
4852.382812,311
5145.648438,203
5438.914062,135
5732.179688,112
6025.445312,67
6318.710938,49
6611.976562,31
6905.242188,23
7198.507812,14
7491.773438,10
7785.039062,9
8078.304688,3
8371.570312,1
8664.835938,1
8958.101562,0
9251.367188,1
